"""Indonesia"""
"""Category""","""dot_nsig""","""Mean performance""","""line""","""Best-fitting trend""","""x_maths""","""x_reading""","""x_scie""","""OECD Average (23 countries)"""
"""2000""",,,,499.53403
"""2000.5""",,,,499.181
"""2000.5""",,,,
"""2000.25""",,,,499.35751
"""2000.25""",,,,
"""2000.75""",,,,499.00446
"""2000.75""",,,,
"""2001""",370.61465,370.61465,371.26953,,498.82794
"""2001""",,,,
"""2001.5""",,373.35858,374.17764,,498.47491
"""2001.5""",,,,
"""2001.5""",,,,
"""2001.25""",,371.98663,372.74368,,498.65143
"""2001.25""",,,,
"""2001.25""",,,,
"""2001.75""",,374.73053,375.57141,,498.2984
"""2001.75""",,,,
"""2001.75""",,,,
"""2002""",,376.10251,376.92496,,498.12189
"""2002""",,,,
"""2002""",,,,
"""2002.5""",,378.84644,379.51147,,497.76883
"""2002.5""",,,,
"""2002.5""",,,,
"""2002.25""",,377.47449,378.23831,,497.94537
"""2002.25""",,,,
"""2002.25""",,,,
"""2002.75""",,380.21838,380.74445,,497.59232
"""2002.75""",,,,
"""2002.75""",,,,
"""2003""",381.59036,381.59036,381.93719,,497.4158
"""2003""",360.15884,360.15884,366.43225,,502.125
"""2003""",,,,
"""2003.5""",,383.48077,384.20215,,497.09082
"""2003.5""",,365.30017,368.03839,,501.94836
"""2003.5""",,,,
"""2003.25""",,382.53558,383.08975,,497.25333
"""2003.25""",,362.72949,367.24615,,502.03668
"""2003.25""",,,,
"""2003.75""",,384.42596,385.27429,,496.92834
"""2003.75""",,367.87085,368.80899,,501.86005
"""2003.75""",,,,
"""2004""",,385.37119,386.30627,,496.76584
"""2004""",,370.4415,369.55792,,501.77176
"""2004""",,,,
"""2004.5""",,387.2616,388.24963,,496.44086
"""2004.5""",,375.58282,370.99084,,501.59512
"""2004.5""",,,,
"""2004.25""",,386.31641,387.29807,,496.60336
"""2004.25""",,373.01215,370.28519,,501.68344
"""2004.25""",,,,
"""2004.75""",,388.20679,389.16101,,496.27838
"""2004.75""",,378.1535,371.6748,,501.50681
"""2004.75""",,,,
"""2005""",,389.15201,390.0322,,496.11591
"""2005""",,380.72415,372.33716,,501.41849
"""2005""",,,,
"""2005.5""",,391.04242,391.65396,,495.79092
"""2005.5""",,385.86548,373.59686,,501.24188
"""2005.5""",,,,
"""2005.25""",,390.09723,390.86319,,495.9534
"""2005.25""",,383.2948,372.97784,,501.3302
"""2005.25""",,,,
"""2005.75""",,391.98761,392.40454,,495.62842
"""2005.75""",,388.43616,374.19424,,501.15356
"""2005.75""",,,,
"""2006""",392.93283,392.93283,393.11496,,495.46594
"""2006""",391.00681,391.00681,374.76996,,501.06525
"""2006""",393.48102,393.48102,389.74411,,502.74365
"""2006.5""",,394.3949,394.41513,,496.12122
"""2006.5""",,387.7225,375.85645,,501.16586
"""2006.5""",,391.66241,389.76074,,503.24326
"""2006.25""",,393.66385,393.78513,,495.79358
"""2006.25""",,389.36465,375.32404,,501.11554
"""2006.25""",,392.57172,389.75241,,502.99344
"""2006.75""",,395.12592,395.00494,,496.44885
"""2006.75""",,386.08032,376.36722,,501.21619
"""2006.75""",,390.75311,389.76904,,503.49304
"""2007""",,395.85696,395.55453,,496.77646
"""2007""",,384.43817,376.85635,,501.26648
"""2007""",,389.84384,389.77737,,503.74286
"""2007.5""",,397.31903,396.53314,,497.43173
"""2007.5""",,381.15387,377.76962,,501.3671
"""2007.5""",,388.02524,389.79401,,504.24243
"""2007.25""",,396.58798,396.06393,,497.1041
"""2007.25""",,382.79602,377.32382,,501.31677
"""2007.25""",,388.93454,389.78571,,503.99265
"""2007.75""",,398.05005,396.96216,,497.75937
"""2007.75""",,379.51172,378.19379,,501.41742
"""2007.75""",,387.11594,389.80234,,504.49225
"""2008""",,398.78107,397.35095,,498.08701
"""2008""",,377.86957,378.59631,,501.46771
"""2008""",,386.20663,389.81064,,504.74203
"""2008.5""",,400.24313,398.00797,,498.74225
"""2008.5""",,374.58524,379.3364,,501.56833
"""2008.5""",,384.38806,389.82727,,505.24164
"""2008.25""",,399.51212,397.69955,,498.41461
"""2008.25""",,376.22742,378.97717,,501.51801
"""2008.25""",,385.29736,389.81897,,504.99185
"""2008.75""",,400.97418,398.27618,,499.06989
"""2008.75""",,372.94308,379.67395,,501.61865
"""2008.75""",,383.47876,389.8356,,505.49146
"""2009""",401.7052,401.7052,398.50421,,499.39752
"""2009""",371.30093,371.30093,379.98984,,501.66895
"""2009""",382.56946,382.56946,389.84393,,505.74124
"""2009.5""",,400.77435,398.83966,,499.7254
"""2009.5""",,371.93652,380.5567,,501.17001
"""2009.5""",,382.45981,389.86057,,505.57288
"""2009.25""",,401.23978,398.69202,,499.56146
"""2009.25""",,371.61871,380.28412,,501.41946
"""2009.25""",,382.51462,389.85223,,505.65704
"""2009.75""",,400.30893,398.94708,,499.88931
"""2009.75""",,372.2543,380.80765,,500.92053
"""2009.75""",,382.40497,389.86887,,505.48868
"""2010""",,399.84351,399.01431,510,500.05325
"""2010""",,372.57211,381.03696,,500.67108
"""2010""",,382.35013,389.8772,,505.40448
"""2010.5""",,398.91266,399.02817,,500.3811
"""2010.5""",,373.2077,381.4306,,500.17212
"""2010.5""",,382.24048,389.89383,,505.23611
"""2010.25""",,399.37808,399.04132,,500.21719
"""2010.25""",,372.88989,381.2446,,500.4216
"""2010.25""",,382.29532,389.8855,,505.32031
"""2010.75""",,398.4472,398.97479,,500.54504
"""2010.75""",,373.52548,381.59497,,499.92267
"""2010.75""",,382.18564,389.90216,,505.15192
"""2011""",,397.98178,398.88123,,500.70898
"""2011""",,373.84326,381.73764,,499.67319
"""2011""",,382.13083,389.91046,,505.06775
"""2011.5""",,397.05093,398.57352,,501.03687
"""2011.5""",,374.47885,381.9581,,499.17426
"""2011.5""",,382.02115,389.92709,,504.89935
"""2011.25""",,397.51636,398.74747,,500.87292
"""2011.25""",,374.16107,381.8587,,499.42374
"""2011.25""",,382.07599,389.91879,,504.98355
"""2011.75""",,396.58551,398.35934,,501.20078
"""2011.75""",,374.79666,382.03583,,498.9248
"""2011.75""",,381.96634,389.93542,,504.81519
"""2012""",396.12009,396.12009,398.10498,,501.36472
"""2012""",375.11444,375.11444,382.09192,510,,498.67532
"""2012""",381.9115,381.9115,389.94373,,504.73099
"""2012.5""",,396.31,397.47568,,500.67874
"""2012.5""",,376.94696,382.13913,,498.14935
"""2012.5""",,385.44287,389.96039,,503.4393
"""2012.25""",,396.21503,397.81042,,501.02173
"""2012.25""",,376.0307,382.12634,,498.41232
"""2012.25""",,383.67719,389.95206,,504.08514
"""2012.75""",,396.40494,397.10074,,500.33575
"""2012.75""",,377.86322,382.13028,,497.88635
"""2012.75""",,387.20856,389.96869,,502.79346
"""2013""",,396.49988,396.68558,,499.99277
"""2013""",,378.77948,382.09976,,497.62335
"""2013""",,388.97424,389.97702,,510,502.14761
"""2013.5""",,396.68979,395.73471,,499.30682
"""2013.5""",,380.612,381.97379,,497.09738
"""2013.5""",,392.50562,389.99365,,500.85596
"""2013.25""",,396.59485,396.23026,,499.64978
"""2013.25""",,379.69574,382.04761,,497.36038
"""2013.25""",,390.73993,389.98532,,501.50177
"""2013.75""",,396.78473,395.19897,,498.96384
"""2013.75""",,381.52829,381.8783,,496.83438
"""2013.75""",,394.2713,390.00195,,500.21011
"""2014""",,396.8797,394.62302,,498.62085
"""2014""",,382.44455,381.76117,,496.57141
"""2014""",,396.03699,390.01028,,499.56427
"""2014.5""",,397.06958,393.35056,,497.93488
"""2014.5""",,384.27707,381.46198,,496.04541
"""2014.5""",,399.56836,390.02692,,498.27258
"""2014.25""",,396.97464,394.0069,,498.27786
"""2014.25""",,383.36081,381.62241,,496.30841
"""2014.25""",,397.80267,390.01862,,498.91843
"""2014.75""",,397.16455,392.65402,,497.59189
"""2014.75""",,385.19333,381.27991,,495.78244
"""2014.75""",,401.33405,390.03525,,497.62674
"""2015""",397.25949,397.25949,391.9173,,497.2489
"""2015""",386.10959,386.10959,381.07617,,495.51944
"""2015""",403.09973,403.09973,390.04355,,496.9809
"""2015.5""",,392.87714,390.32324,,496.51364
"""2015.5""",,384.86935,380.60376,,495.6579
"""2015.5""",,401.92813,390.06018,,496.39453
"""2015.25""",,395.06833,391.14038,,496.88129
"""2015.25""",,385.48947,380.8508,,495.58868
"""2015.25""",,402.51392,390.05188,,496.68771
"""2015.75""",,390.68597,389.46591,,496.146
"""2015.75""",,384.24921,380.33508,,495.72711
"""2015.75""",,401.34232,390.06851,,496.10138
"""2016""",,388.49478,388.56839,,495.77838
"""2016""",,383.62909,380.04474,,495.79636
"""2016""",,400.7565,390.07684,,495.8082
"""2016.5""",,384.11243,386.65277,,495.04312
"""2016.5""",,382.38885,379.39911,,495.93481
"""2016.5""",,399.5849,390.09348,,495.22183
"""2016.25""",,386.30362,387.63068,,495.41077
"""2016.25""",,383.00897,379.73276,,495.8656
"""2016.25""",,400.17072,390.08514,,495.51501
"""2016.75""",,381.92126,385.63464,,494.67548
"""2016.75""",,381.76874,379.04382,,496.00403
"""2016.75""",,398.99908,390.10178,,494.92865
"""2017""",,379.7301,384.57635,,494.30786
"""2017""",,381.14862,378.66687,,496.07327
"""2017""",,398.4133,390.11011,,494.63547
"""2017.5""",,375.34775,382.33911,,493.5726
"""2017.5""",,379.90836,377.84805,,496.21173
"""2017.5""",,397.24167,390.12674,,494.04913
"""2017.25""",,377.53891,383.47784,,493.94025
"""2017.25""",,380.5285,378.26828,,496.14252
"""2017.25""",,397.82748,390.11841,,494.34229
"""2017.75""",,373.15656,381.16022,,493.20496
"""2017.75""",,379.28824,377.40616,,496.28094
"""2017.75""",,396.65588,390.13507,,493.75595
"""2018""",370.96539,370.96539,379.94113,,492.83734
"""2018""",378.66812,378.66812,376.9426,,496.35019
"""2018""",396.07007,396.07007,390.14337,,493.46277
"""2018.5""",,369.41595,377.38232,,491.47403
"""2018.5""",,377.02527,375.95056,,494.34256
"""2018.5""",,394.41925,390.16,,493.1377
"""2018.25""",,370.19067,378.68182,,492.1557
"""2018.25""",,377.84668,376.4574,,495.34637
"""2018.25""",,395.24466,390.1517,,493.30023
"""2018.75""",,368.64124,376.04263,,490.79239
"""2018.75""",,376.20383,375.42206,,493.33875
"""2018.75""",,393.59381,390.16833,,492.97516
"""2019""",,367.86652,374.66272,,490.11072
"""2019""",,375.38242,374.87189,,492.33493
"""2019""",,392.7684,390.17664,,492.81262
"""2019.5""",,366.31708,371.78235,,488.74741
