Category,Country,Average_Score,Average_SE,CI_Lower_Bound,CI_Upper_Bound,Std_Dev,Std_Dev_SE,Pct_5,Pct_25,Pct_75,Pct_95,Notes
Country,Singapore,615,2.9,609,620,88,1.7,450,565,675,743,3
Country,Chinese Taipei,607,1.7,604,610,67,0.8,491,565,652,712,
Country,"Korea, Rep. of",594,2.6,589,600,75,2.1,462,549,645,711,
Country,Hong Kong SAR,594,4.0,586,602,84,2.2,440,547,651,718,†
Country,Japan,591,2.3,586,595,71,1.1,472,545,639,704,
Country,Macao SAR,582,1.0,580,584,79,1.0,444,533,636,704,
Country,Lithuania,561,2.9,555,566,76,1.6,426,512,614,679,2
Country,"Türkiye (5)",553,4.1,545,561,99,2.0,378,489,622,706,3
Country,England,552,2.7,547,557,92,1.9,393,493,616,695,2
Country,Poland,546,2.0,542,550,76,1.1,411,498,598,662,2
Country,Ireland,546,2.9,540,551,82,1.6,401,495,604,667,
Country,Romania,542,4.8,532,551,85,2.2,389,487,601,672,"2 ≡"
Country,Netherlands,537,2.0,533,541,65,1.3,426,494,583,638,†
Country,Latvia,534,2.8,529,540,77,1.4,400,483,590,655,
Country,"Norway (5)",531,2.0,527,534,74,1.0,404,481,582,646,2
Country,Czech Republic,530,2.2,526,535,74,1.0,403,482,581,646,2
Country,Sweden,530,2.8,524,535,76,1.6,399,480,583,650,2
Country,Bulgaria,530,3.6,523,537,91,3.1,365,473,595,664,
Country,Finland,529,2.5,524,534,80,1.3,391,478,585,652,
Country,Australia,525,2.6,520,530,91,1.8,366,465,588,668,
Country,Germany,524,2.1,520,528,75,1.5,393,475,576,643,
Country,Denmark,524,2.1,520,528,72,1.1,403,476,573,638,†
Country,Serbia,523,3.3,516,529,80,1.9,382,471,578,645,2
Country,"Belgium (Flemish)",521,2.4,516,526,71,1.4,402,471,571,634,"2 †"
Country,Hungary,520,3.6,513,527,91,2.5,355,462,585,656,
Country,Portugal,517,2.8,512,523,82,1.4,378,460,576,646,
Country,United States,517,3.1,511,523,97,1.2,348,451,587,667,"2 †"
Country,Cyprus,516,2.5,511,521,81,1.3,373,464,573,641,2
Country,Slovak Republic,515,3.1,509,521,81,2.2,363,469,572,632,
Country,Slovenia,514,1.8,510,517,73,0.9,390,465,565,628,
Country,Italy,513,2.8,508,519,80,1.3,375,461,570,638,2
Country,Armenia,513,2.8,507,518,70,1.5,388,468,560,618,2
Country,Albania,512,4.9,502,521,81,3.0,372,458,566,642,"2 ≡"
Country,Canada,504,2.0,500,508,81,1.1,368,450,559,633,"1 3"
Country,Spain,498,2.1,494,502,75,1.3,372,447,551,619,2
Country,United Arab Emirates,498,1.2,496,501,107,0.8,314,423,576,662,
Country,Georgia,498,3.1,492,504,79,1.6,358,446,553,621,1
Country,Azerbaijan,494,3.5,487,501,91,1.8,334,433,560,632,
Country,New Zealand,490,2.6,485,495,91,1.2,338,427,555,635,"2 †"
Country,"Belgium (French)",489,2.4,485,494,76,1.3,364,437,542,611,2
Country,Kazakhstan,487,3.6,480,494,87,1.9,340,428,549,624,2
Country,France,484,2.9,478,490,77,1.3,353,431,539,604,2
Country,Montenegro,477,2.1,473,481,76,1.2,346,428,530,594,2
Country,North Macedonia,474,3.6,467,481,85,1.6,329,414,536,606,
Country,Qatar,464,3.5,457,471,97,1.9,303,395,533,620,
Country,Bahrain,462,4.1,453,470,99,2.4,298,393,530,622,
Country,Kosovo,451,3.4,445,458,80,2.1,320,396,507,584,2
Country,"Bosnia & Herzegovina",447,3.2,441,453,75,1.6,319,397,498,565,1
Country,Chile,444,2.8,438,449,80,1.4,307,388,500,574,"2 †"
Country,Uzbekistan,443,3.2,437,450,82,1.4,311,387,500,579,
Country,Jordan,427,5.3,417,437,101,3.1,263,356,498,595,
Country,Oman,421,4.0,413,429,99,2.3,267,350,489,590,
Country,"Iran, Islamic Rep. of",420,4.2,411,428,98,2.1,250,353,491,569,ψ
Country,Saudi Arabia,420,4.2,411,428,94,1.9,268,352,486,573,3
Country,Brazil,400,3.4,393,407,90,2.3,259,336,462,549,"2 ψ"
Country,Morocco,393,4.6,384,402,102,2.5,230,322,463,566,
Country,Kuwait,382,4.4,373,391,115,2.7,190,299,464,567,
Country,"South Africa (5)",362,3.5,355,369,114,2.5,193,277,438,566,
International Average,TIMSS 2023 International Average,503,0.4,502,504,,,,,,
Benchmarking,"Dubai, UAE",557,1.6,554,560,91,1.1,390,502,618,695,
Benchmarking,"Quebec, Canada",515,2.7,509,520,74,1.2,390,465,566,632,2
Benchmarking,"Sharjah, UAE",504,3.3,498,510,96,2.0,336,441,572,652,
Benchmarking,"Ontario, Canada",503,3.4,496,509,82,1.8,367,448,559,634,3
Benchmarking,"Abu Dhabi, UAE",459,1.9,455,462,108,1.1,284,376,540,632,
